[123, 124, 122]
[148, 148, 145]
[159, 161, 158]
[165, 168, 166]
[163, 169, 169]
[158, 169, 172]
[150, 164, 170]
[146, 162, 169]
[143, 160, 168]
[140, 158, 168]
[140, 159, 169]
[138, 159, 169]
[131, 154, 165]
[125, 151, 162]
[115, 139, 152]
[103, 126, 142]
[97, 117, 135]
[100, 115, 136]
[101, 115, 135]
[104, 115, 134]
[108, 119, 134]
[115, 125, 137]
[124, 133, 142]
[132, 140, 146]
[137, 145, 149]
[143, 151, 153]
[148, 157, 159]
[149, 161, 163]
[148, 163, 165]
[147, 162, 167]
[139, 154, 160]
[134, 149, 152]
[127, 139, 139]
[120, 128, 125]
[120, 125, 119]
[115, 118, 111]
[156, 157, 119]
[148, 150, 112]
[143, 142, 102]
[142, 139, 95]
[146, 143, 94]
[152, 148, 101]
[153, 150, 108]
[146, 146, 115]
[133, 135, 112]
[120, 124, 109]
[102, 108, 99]
[88, 92, 87]
[82, 85, 83]
[97, 98, 95]
[121, 119, 116]
[144, 142, 137]
[158, 157, 153]
[166, 167, 166]
[163, 169, 170]
[160, 170, 173]
[153, 167, 172]
[148, 165, 171]
[142, 160, 168]
[138, 157, 166]
[138, 158, 168]
[134, 156, 166]
[130, 153, 164]
[126, 151, 162]
[115, 139, 152]
[104, 126, 141]
[99, 117, 135]
[99, 114, 133]
[101, 114, 134]
[103, 115, 132]
[108, 119, 134]
[115, 125, 136]
[124, 133, 141]
[131, 139, 144]
[136, 144, 147]
[144, 151, 153]
[145, 155, 157]
[143, 157, 159]
[143, 158, 161]
[134, 150, 155]
[123, 142, 144]
[120, 134, 134]
[121, 129, 124]
[122, 128, 116]
[123, 125, 110]
[120, 119, 101]
[159, 158, 127]
[157, 159, 123]
[158, 159, 121]
[157, 157, 114]
[157, 158, 114]
[154, 156, 113]
[151, 155, 118]
[142, 148, 117]
[129, 137, 117]
[115, 124, 111]
[98, 107, 100]
[89, 93, 90]
[84, 85, 83]
[100, 97, 95]
[123, 118, 115]
[138, 133, 129]
[154, 151, 148]
[162, 162, 161]
[164, 168, 169]
[160, 169, 172]
[156, 168, 174]
[148, 165, 171]
[142, 160, 167]
[139, 158, 167]
[139, 158, 168]
[133, 155, 165]
[130, 153, 164]
[126, 149, 161]
[115, 138, 152]
[105, 126, 141]
[99, 117, 134]
[99, 115, 133]
[101, 115, 134]
[103, 116, 133]
[107, 119, 134]
[115, 126, 137]
[125, 133, 142]
[129, 136, 141]
[136, 143, 146]
[143, 149, 152]
[142, 150, 153]
[140, 153, 156]
[138, 153, 156]
[127, 144, 146]
[115, 131, 130]
[111, 122, 115]
[114, 119, 105]
[121, 123, 101]
[127, 126, 100]
[126, 123, 94]
[147, 154, 129]
[156, 161, 135]
[157, 164, 133]
[157, 163, 130]
[157, 164, 129]
[150, 160, 126]
[146, 155, 123]
[131, 141, 116]
[117, 129, 113]
[105, 115, 106]
[93, 99, 96]
[82, 83, 81]
[83, 80, 80]
[98, 92, 90]
[120, 110, 108]
[135, 128, 126]
[151, 146, 145]
[159, 158, 159]
[161, 165, 167]
[156, 164, 169]
[152, 164, 170]
[144, 160, 167]
[140, 158, 166]
[139, 157, 166]
[136, 155, 165]
[132, 152, 163]
[127, 148, 160]
[123, 144, 156]
[113, 134, 149]
[107, 126, 142]
[99, 117, 134]
[99, 113, 131]
[102, 115, 134]
[105, 118, 134]
[110, 122, 137]
[117, 127, 139]
[122, 129, 139]
[128, 133, 140]
[136, 140, 144]
[142, 147, 150]
[141, 149, 152]
[137, 148, 151]
[129, 145, 146]
[120, 136, 135]
